qubits,layers,connectivity,seed,strength,alpha,validation_RMSE,validation_GARCH_RMSE,validation_gain_vs_GARCH_%,test_GARCH_RMSE,test_gain_vs_GARCH_%,cx_count,depth,elapsed,data_source,RMSE,MAE,R2,NMSE,QLIKE,validation_rank
5,3,random,44,0.825,100.0,0.0061403316863596884,0.0064638883343386445,5.0056039220247595,0.008321105204870878,-1.3771114571633438,24,43,6.1419782638549805,yfinance:SPY:2010-01-01:2024-12-31,0.00843569609800977,0.004421516909783198,0.9565182290733979,0.043481770926602145,0.018035765828519807,38
5,2,random,41,0.75,100.0,0.006151890666186236,0.0064638883343386445,4.826779981562461,0.008321105204870878,-1.4229329213123298,16,24,4.645006418228149,yfinance:SPY:2010-01-01:2024-12-31,0.00843950895024802,0.004496877570931755,0.9564789135188054,0.04352108648119456,0.017577183072309408,39
5,3,linear,42,0.825,100.0,0.006165487420400693,0.0064638883343386445,4.6164305214360155,0.008321105204870878,-2.8106293949798133,24,37,6.314517021179199,yfinance:SPY:2010-01-01:2024-12-31,0.008554980633746174,0.004523358861636111,0.9552798312097163,0.04472016879028374,0.01790175460880934,40
5,3,random,46,0.875,100.0,0.006166105935509343,0.0064638883343386445,4.6068617436871255,0.008321105204870878,-3.919542082459943,24,37,7.360493421554565,yfinance:SPY:2010-01-01:2024-12-31,0.008647254425101556,0.004715141308740099,0.954309927510697,0.04569007248930302,0.01865776859565072,41
5,2,linear,45,0.7750000000000001,100.0,0.006175003515028429,0.0064638883343386445,4.469211167766454,0.008321105204870878,-2.401330931284744,16,27,4.268091201782227,yfinance:SPY:2010-01-01:2024-12-31,0.008520922477980187,0.004544109811876137,0.9556351925522478,0.04436480744775219,0.018322764750773293,42
5,1,linear,42,0.9750000000000001,100.0,0.006175593241312606,0.0064638883343386445,4.460087769377212,0.008321105204870878,-3.08053554889962,8,17,3.0529351234436035,yfinance:SPY:2010-01-01:2024-12-31,0.008577439808768262,0.004412402744114798,0.9550447175314543,0.044955282468545785,0.018549166880052693,43
5,2,linear,47,0.675,100.0,0.006183923751782693,0.0064638883343386445,4.331210071632461,0.008321105204870878,-0.9574244616666577,16,27,4.256700038909912,yfinance:SPY:2010-01-01:2024-12-31,0.008400773501583329,0.004420364944749638,0.9568775007066203,0.04312249929337976,0.01771387832174626,44
5,3,random,45,0.7250000000000001,100.0,0.006188214037841,0.0064638883343386445,4.264836925371328,0.008321105204870878,-0.5154772437714085,24,40,6.216306686401367,yfinance:SPY:2010-01-01:2024-12-31,0.008363998608632265,0.004459563470893558,0.9572542170344761,0.042745782965523914,0.01745980097476639,45
5,3,linear,47,0.75,100.0,0.0062059433016695455,0.0064638883343386445,3.990555209606523,0.008321105204870878,-0.3888216084448088,24,37,7.094375371932983,yfinance:SPY:2010-01-01:2024-12-31,0.008353459459968841,0.004281944488026908,0.9573618737549293,0.04263812624507068,0.018050158572692116,46
5,3,random,42,0.6000000000000001,100.0,0.006241369572729315,0.0064638883343386445,3.442490805839347,0.008321105204870878,-0.5262655836531481,24,34,6.425896406173706,yfinance:SPY:2010-01-01:2024-12-31,0.008364896317743684,0.0043471387430728545,0.9572450407206236,0.04275495927937644,0.017370293642575575,47
5,3,random,41,0.9500000000000002,100.0,0.006308529824898465,0.0064638883343386445,2.403483807337078,0.008321105204870878,-3.0431770808481686,24,34,6.301240921020508,yfinance:SPY:2010-01-01:2024-12-31,0.008574331171338772,0.004611132946977261,0.9550772970313511,0.04492270296864887,0.018403450645490524,48
